orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
infineon::cy8c6246bti-d54,infineon::cy8c6246bti-d54,Infineon,PSOC 62,PSOC 62,CY8C62x6,CY8C6246BTI-D54,CY8C6246BTI-D54,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6246bzi-d04,infineon::cy8c6246bzi-d04,Infineon,PSOC 62,PSOC 62,CY8C62x6,CY8C6246BZI-D04,CY8C6246BZI-D04,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6247bfi-d54,infineon::cy8c6247bfi-d54,Infineon,PSOC 62,PSOC 62,CY8C62x7,CY8C6247BFI-D54,CY8C6247BFI-D54,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6247bti-d54,infineon::cy8c6247bti-d54,Infineon,PSOC 62,PSOC 62,CY8C62x7,CY8C6247BTI-D54,CY8C6247BTI-D54,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6247bzi-aud54,infineon::cy8c6247bzi-aud54,Infineon,PSOC 62,PSOC 62,CY8C62x7,CY8C6247BZI-AUD54,CY8C6247BZI-AUD54,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6247bzi-d34,infineon::cy8c6247bzi-d34,Infineon,PSOC 62,PSOC 62,CY8C62x7,CY8C6247BZI-D34,CY8C6247BZI-D34,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6247bzi-d44,infineon::cy8c6247bzi-d44,Infineon,PSOC 62,PSOC 62,CY8C62x7,CY8C6247BZI-D44,CY8C6247BZI-D44,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6247bzi-d54,infineon::cy8c6247bzi-d54,Infineon,PSOC 62,PSOC 62,CY8C62x7,CY8C6247BZI-D54,CY8C6247BZI-D54,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6247fdi-d02,infineon::cy8c6247fdi-d02,Infineon,PSOC 62,PSOC 62,CY8C62x7,CY8C6247FDI-D02,CY8C6247FDI-D02,,,,,80-WLCSP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6247fdi-d32,infineon::cy8c6247fdi-d32,Infineon,PSOC 62,PSOC 62,CY8C62x7,CY8C6247FDI-D32,CY8C6247FDI-D32,,,,,80-WLCSP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
