source_id,source_type,publisher,title,url,version,observed_at,verification_scope
cmsis:Microchip.SAMD11_DFP@2.7.195,cmsis_pdsc,Microchip,Microchip.SAMD11_DFP,https://packs.download.microchip.com/Microchip.SAMD11_DFP.pdsc,2.7.195,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAMD20_DFP@3.7.231,cmsis_pdsc,Microchip,Microchip.SAMD20_DFP,https://packs.download.microchip.com/Microchip.SAMD20_DFP.pdsc,3.7.231,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAMD21_DFP@3.8.270,cmsis_pdsc,Microchip,Microchip.SAMD21_DFP,https://packs.download.microchip.com/Microchip.SAMD21_DFP.pdsc,3.8.270,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAMD51_DFP@3.9.276,cmsis_pdsc,Microchip,Microchip.SAMD51_DFP,https://packs.download.microchip.com/Microchip.SAMD51_DFP.pdsc,3.9.276,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAMDA1_DFP@2.8.196,cmsis_pdsc,Microchip,Microchip.SAMDA1_DFP,https://packs.download.microchip.com/Microchip.SAMDA1_DFP.pdsc,2.8.196,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAME51_DFP@3.9.267,cmsis_pdsc,Microchip,Microchip.SAME51_DFP,https://packs.download.microchip.com/Microchip.SAME51_DFP.pdsc,3.9.267,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAME53_DFP@3.10.248,cmsis_pdsc,Microchip,Microchip.SAME53_DFP,https://packs.download.microchip.com/Microchip.SAME53_DFP.pdsc,3.10.248,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAME54_DFP@3.11.261,cmsis_pdsc,Microchip,Microchip.SAME54_DFP,https://packs.download.microchip.com/Microchip.SAME54_DFP.pdsc,3.11.261,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAME70_DFP@4.13.292,cmsis_pdsc,Microchip,Microchip.SAME70_DFP,https://packs.download.microchip.com/Microchip.SAME70_DFP.pdsc,4.13.292,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAMG_DFP@3.10.223,cmsis_pdsc,Microchip,Microchip.SAMG_DFP,https://packs.download.microchip.com/Microchip.SAMG_DFP.pdsc,3.10.223,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAMHA0_DFP@2.4.179,cmsis_pdsc,Microchip,Microchip.SAMHA0_DFP,https://packs.download.microchip.com/Microchip.SAMHA0_DFP.pdsc,2.4.179,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAMHA1_DFP@2.5.190,cmsis_pdsc,Microchip,Microchip.SAMHA1_DFP,https://packs.download.microchip.com/Microchip.SAMHA1_DFP.pdsc,2.5.190,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAML10_DFP@3.11.262,cmsis_pdsc,Microchip,Microchip.SAML10_DFP,https://packs.download.microchip.com/Microchip.SAML10_DFP.pdsc,3.11.262,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
