orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
microchip::at90pwm1-16su,microchip::at90pwm1,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM1,AT90PWM1-16SU,-16SU,,,,SOIC24,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm161-16mf,microchip::at90pwm161,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM161,AT90PWM161-16MF,-16MF,,,,QFN32,-40..125 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm161-16mn,microchip::at90pwm161,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM161,AT90PWM161-16MN,-16MN,,,,QFN32,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm161-16sf,microchip::at90pwm161,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM161,AT90PWM161-16SF,-16SF,,,,SOIC20,-40..125 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm161-16sn,microchip::at90pwm161,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM161,AT90PWM161-16SN,-16SN,,,,SOIC20,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm216-16se,microchip::at90pwm216,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM216,AT90PWM216-16SE,-16SE,,,,SOIC24,0..0 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm216-16su,microchip::at90pwm216,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM216,AT90PWM216-16SU,-16SU,,,,SOIC24,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm2b-16se,microchip::at90pwm2b,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM2B,AT90PWM2B-16SE,-16SE,,,,SOIC32,0..0 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm2b-16su,microchip::at90pwm2b,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM2B,AT90PWM2B-16SU,-16SU,,,,SOIC24,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm3-16mq,microchip::at90pwm3,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM3,AT90PWM3-16MQ,-16MQ,,,,QFN32,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
