target,url,cache_path,sha256,bytes,commit
esp32:timer_group,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32/register/soc/timer_group_struct.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32-timer_group_struct.h,bddd605d7f71437aafd9771d3dab1401d254cf3a8a4e2c924dca518e3cdb0f54,21020,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32c5:timer_group,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32c5/register/soc/timer_group_struct.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32c5-timer_group_struct.h,8e654889a9ee1191e7f926574f4cac57e459fa09d243b2ab6794d69eae4d3eb3,19675,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32c2:timer_group,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32c2/register/soc/timer_group_struct.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32c2-timer_group_struct.h,95cf40fdd4798805dbe5d26fd5aba87e0bb718c69240c3d6aa2b61eb037a29bf,16664,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32c6:timer_group,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32c6/register/soc/timer_group_struct.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32c6-timer_group_struct.h,e20494e1920f8c77af5e344d2b9d67e7c54f78d7cdca39da0c346811aa9d4741,17368,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32h21:timer_group,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32h21/register/soc/timer_group_struct.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32h21-timer_group_struct.h,0568d94016226b4350b2add7da6c2d023fd5a980cbd158ef803afcff790a56e1,17306,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32h2:timer_group,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32h2/register/soc/timer_group_struct.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32h2-timer_group_struct.h,e20494e1920f8c77af5e344d2b9d67e7c54f78d7cdca39da0c346811aa9d4741,17368,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32s2:timer_group,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32s2/register/soc/timer_group_struct.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32s2-timer_group_struct.h,938b2e8bcb30958efa572c8fa495b583b0bb9bebb00ecbf152645786d37c6057,22682,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32h4:timer_group,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32h4/register/soc/timer_group_struct.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32h4-timer_group_struct.h,8e654889a9ee1191e7f926574f4cac57e459fa09d243b2ab6794d69eae4d3eb3,19675,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32s3:timer_group,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32s3/register/soc/timer_group_struct.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32s3-timer_group_struct.h,e7dbb665f77a0e58a288a466368ed73af54254970b9b4820ea0338ea6695947c,16792,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32s31:timer_group,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32s31/register/soc/timer_group_struct.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32s31-timer_group_struct.h,6add061971adf862684950e567434a9df62bdd1fa43e08c4f5f44cf0703774eb,19645,08e0d30a74ad0bfd5a34933142b80f45619ee410
