source_id,source_type,publisher,title,url,version,observed_at,verification_scope
allwinner:product-page:mr527,manufacturer_product_page,Allwinner,Allwinner MR527 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=121,live-product-page;sha256:3e0ddc8f365d95205ecc625c5bc6d0c4b686bb078339c299ada92ea3983dbe93,2026-08-22T16:13:28+00:00,MR527 independently usable MCU core and robot interfaces.
allwinner:product-page:mr536,manufacturer_product_page,Allwinner,Allwinner MR536 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=141,live-product-page;sha256:95686d4f2106b588f25c4a2615b2d341a9d9935d8c1d3e13805221aa834b7891,2026-08-22T16:13:28+00:00,MR536 independent MCU system and robot interfaces.
allwinner:product-page:v881,manufacturer_product_page,Allwinner,Allwinner V881 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=150,live-product-page;sha256:209fb43d44a0ff2bdb2a09e49050416b506698649131645d7e4740323f0fa8b1,2026-08-22T16:13:28+00:00,"V881 MCU core, vision accelerators and interfaces."
allwinner:product-page:v861,manufacturer_product_page,Allwinner,Allwinner V861 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=148,live-product-page;sha256:03fc83c37a78f24203f4361b943f2a2f71bda60a6745e9ae528879fd72d972ad,2026-08-22T16:13:28+00:00,"V861 MCU core, vision accelerators and interfaces."
allwinner:product-page:v838,manufacturer_product_page,Allwinner,Allwinner V838 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=147,live-product-page;sha256:8293dc800904ec423504b4384442c9312159934e740093ebe8086bb80435a038,2026-08-22T16:13:28+00:00,"V838 MCU core, vision accelerators and interfaces."
allwinner:product-page:v821,manufacturer_product_page,Allwinner,Allwinner V821 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=136,live-product-page;sha256:5622e52d514fb25d062c0a26ac271635ff015908c8172ce4209d65a679351847,2026-08-22T16:13:28+00:00,"V821 MCU core, wireless/video functions and interfaces."
allwinner:product-page:v853,manufacturer_product_page,Allwinner,Allwinner V853 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=117,live-product-page;sha256:d05fa2cac01913b06ce495b8398b0b81b6faf65b52c9c911ab8fb9191ba8c4ad,2026-08-22T16:13:28+00:00,"V853 MCU core, vision accelerators and interfaces."
allwinner:product-page:v851s,manufacturer_product_page,Allwinner,Allwinner V851s official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=118,live-product-page;sha256:add3afb346780232ae8047606bed8b9b7c017977f83c24dec39b5f0063872f58,2026-08-22T16:13:28+00:00,"V851s MCU core, vision accelerators and interfaces."
allwinner:product-page:v837s,manufacturer_product_page,Allwinner,Allwinner V837s official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=105,live-product-page;sha256:bdee757cbe3393dd491fbe0726abfbd0d9213e5ca11e43f8c566a501b953129a,2026-08-22T16:13:28+00:00,"V837s MCU core, vision accelerators and interfaces."
allwinner:product-page:r128,manufacturer_product_page,Allwinner,Allwinner R128 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=133,live-product-page;sha256:353c9b548399790673a33a38cd869c3f558f045d321957068f5e31b778c116bd,2026-08-22T16:13:28+00:00,"R128 MCU, DSP, memory, wireless and peripheral resources."
allwinner:product-page:xr819,manufacturer_product_page,Allwinner,Allwinner XR819 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=134,live-product-page;sha256:d949c633401ccdb135dedb08682e9823045ee05d9823efa2983af9703d1bec46,2026-08-22T16:13:28+00:00,XR819/XR819s/XR829 wireless connectivity selector rows.
