orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
artery::at32a423cbt7,artery::at32a423cbt7,Artery,AT32,AT32A,AT32A423,AT32A423CBT7,AT32A423CBT7,CBT7,CBT7,,,LQFP48,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423cbu7,artery::at32a423cbu7,Artery,AT32,AT32A,AT32A423,AT32A423CBU7,AT32A423CBU7,CBU7,CBU7,,,LQFP48,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423cct7,artery::at32a423cct7,Artery,AT32,AT32A,AT32A423,AT32A423CCT7,AT32A423CCT7,CCT7,CCT7,,,LQFP48,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423ccu7,artery::at32a423ccu7,Artery,AT32,AT32A,AT32A423,AT32A423CCU7,AT32A423CCU7,CCU7,CCU7,,,LQFP48,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423k8u7-4,artery::at32a423k8u7-4,Artery,AT32,AT32A,AT32A423,AT32A423K8U7_4,AT32A423K8U7_4,K8U7_4,U7_4,,,QFN32,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423kbu7-4,artery::at32a423kbu7-4,Artery,AT32,AT32A,AT32A423,AT32A423KBU7_4,AT32A423KBU7_4,KBU7_4,U7_4,,,QFN32,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423kcu7-4,artery::at32a423kcu7-4,Artery,AT32,AT32A,AT32A423,AT32A423KCU7_4,AT32A423KCU7_4,KCU7_4,U7_4,,,QFN32,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423r8t7,artery::at32a423r8t7,Artery,AT32,AT32A,AT32A423,AT32A423R8T7,AT32A423R8T7,R8T7,R8T7,,,LQFP64,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423rbt7,artery::at32a423rbt7,Artery,AT32,AT32A,AT32A423,AT32A423RBT7,AT32A423RBT7,RBT7,RBT7,,,LQFP64,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423rct7,artery::at32a423rct7,Artery,AT32,AT32A,AT32A423,AT32A423RCT7,AT32A423RCT7,RCT7,RCT7,,,LQFP64,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423t8u7,artery::at32a423t8u7,Artery,AT32,AT32A,AT32A423,AT32A423T8U7,AT32A423T8U7,T8U7,T8U7,,,,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423tbu7,artery::at32a423tbu7,Artery,AT32,AT32A,AT32A423,AT32A423TBU7,AT32A423TBU7,TBU7,TBU7,,,,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423tcu7,artery::at32a423tcu7,Artery,AT32,AT32A,AT32A423,AT32A423TCU7,AT32A423TCU7,TCU7,TCU7,,,,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
