device_id,device_name,field_name,previous_value,cubemx_value,resolution,source_path
stmicroelectronics::stm32c031g4ux,STM32C031G4Ux,package_types,QFP,UFQFPN28,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c031g4ux,STM32C031G4Ux,pin_counts,28,30,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C031G(4-6)Ux.xml
stmicroelectronics::stm32c031g6ux,STM32C031G6Ux,package_types,QFP,UFQFPN28,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c031g6ux,STM32C031G6Ux,pin_counts,28,30,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C031G(4-6)Ux.xml
stmicroelectronics::stm32c031k4tx,STM32C031K4Tx,package_types,QFP,LQFP32,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c031k4tx,STM32C031K4Tx,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C031K(4-6)Tx.xml
stmicroelectronics::stm32c031k4ux,STM32C031K4Ux,package_types,QFP,UFQFPN32,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c031k4ux,STM32C031K4Ux,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C031K(4-6)Ux.xml
stmicroelectronics::stm32c031k6tx,STM32C031K6Tx,package_types,QFP,LQFP32,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c031k6tx,STM32C031K6Tx,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C031K(4-6)Tx.xml
stmicroelectronics::stm32c031k6ux,STM32C031K6Ux,package_types,QFP,UFQFPN32,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c031k6ux,STM32C031K6Ux,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C031K(4-6)Ux.xml
stmicroelectronics::stm32c051c6tx,STM32C051C6Tx,package_types,QFP,LQFP48,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c051c6tx,STM32C051C6Tx,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C051C6Tx.xml
stmicroelectronics::stm32c051c6ux,STM32C051C6Ux,package_types,QFN,UFQFPN48,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c051c6ux,STM32C051C6Ux,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C051C6Ux.xml
stmicroelectronics::stm32c051c8tx,STM32C051C8Tx,package_types,QFP,LQFP48,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c051c8tx,STM32C051C8Tx,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C051C8Tx.xml
stmicroelectronics::stm32c051c8ux,STM32C051C8Ux,package_types,QFN,UFQFPN48,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c051c8ux,STM32C051C8Ux,pin_counts,48,52,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C051C8Ux.xml
stmicroelectronics::stm32c051d8yxtr,STM32C051D8YxTR,package_types,CSP,WLCSP15,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c051d8yxtr,STM32C051D8YxTR,pin_counts,14,27,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C051D8Yx.xml
stmicroelectronics::stm32c051f6px,STM32C051F6Px,package_types,SOP,TSSOP20,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c051f6px,STM32C051F6Px,pin_counts,20,27,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C051F6Px.xml
stmicroelectronics::stm32c051f8px,STM32C051F8Px,package_types,SOP,TSSOP20,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c051f8px,STM32C051F8Px,pin_counts,20,27,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C051F8Px.xml
stmicroelectronics::stm32c051g6ux,STM32C051G6Ux,package_types,QFN,UFQFPN28,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c051g6ux,STM32C051G6Ux,pin_counts,28,30,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C051G6Ux.xml
stmicroelectronics::stm32c051g8ux,STM32C051G8Ux,package_types,QFN,UFQFPN28,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c051g8ux,STM32C051G8Ux,pin_counts,28,30,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C051G8Ux.xml
stmicroelectronics::stm32c051k6tx,STM32C051K6Tx,package_types,QFP,LQFP32,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c051k6tx,STM32C051K6Tx,pin_counts,32,36,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C051K6Tx.xml
stmicroelectronics::stm32c051k6ux,STM32C051K6Ux,package_types,QFN,UFQFPN32,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
